Processing Report
=============================================================
File Processed: grafik do raportu poprawiony 01-2025.xlsx

✅ Processing completed successfully!
Total schedule entries processed: 651

✅ WorkSchedule summary entries:
  ➡️ YearMonth: 2025-01, Day: 2, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 4, Employee: 197, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 5, Employee: 197, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 7, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 9, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 10, Employee: 197, Start: 08:00, End: 18:15, Room: None
  ➡️ YearMonth: 2025-01, Day: 13, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 15, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 18, Employee: 197, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 19, Employee: 197, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 21, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 24, Employee: 197, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 28, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 29, Employee: 197, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 31, Employee: 197, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 2, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 4, Employee: AB, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 5, Employee: AB, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 9, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 11, Employee: AB, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 12, Employee: AB, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 14, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 16, Employee: AB, Start: 08:00, End: 13:20, Room: None
  ➡️ YearMonth: 2025-01, Day: 17, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 20, Employee: AB, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 21, Employee: AB, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 22, Employee: AB, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 23, Employee: AB, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 24, Employee: AB, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 27, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 28, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 30, Employee: AB, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 2, Employee: 201, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 3, Employee: 201, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 5, Employee: 201, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 6, Employee: 201, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 8, Employee: 201, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 10, Employee: 201, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 13, Employee: 201, Start: 08:00, End: 17:55, Room: None
  ➡️ YearMonth: 2025-01, Day: 20, Employee: 201, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 22, Employee: 201, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 24, Employee: 201, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 25, Employee: 201, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 27, Employee: 201, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 28, Employee: 201, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 29, Employee: 201, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 30, Employee: 201, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 31, Employee: 201, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 1, Employee: 219, Start: 09:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 3, Employee: 219, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 4, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 7, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 8, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 10, Employee: 219, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 14, Employee: 219, Start: 08:00, End: 13:45, Room: None
  ➡️ YearMonth: 2025-01, Day: 16, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 18, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 19, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 21, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 22, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 24, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 25, Employee: 219, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 27, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 29, Employee: 219, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 1, Employee: 221, Start: 09:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 3, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 5, Employee: 221, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 7, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 9, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 11, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 13, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 17, Employee: 221, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 18, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 19, Employee: 221, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 21, Employee: 221, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 24, Employee: 221, Start: 08:00, End: 15:50, Room: None
  ➡️ YearMonth: 2025-01, Day: 27, Employee: 221, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 28, Employee: 221, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 29, Employee: 221, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 30, Employee: 221, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 31, Employee: 221, Start: 08:00, End: 15:35, Room: None
  ➡️ YearMonth: 2025-01, Day: 1, Employee: 202, Start: 09:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 3, Employee: 202, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 8, Employee: 202, Start: 08:00, End: 18:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 11, Employee: 202, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 12, Employee: 202, Start: 08:00, End: 19:30, Room: None
  ➡️ YearMonth: 2025-01, Day: 14, Employee: 202, Start: 08:00, End: 12:00, Room: None
  ➡️ YearMonth: 2025-01, Day: 17, Employee: 202, Start: 08:00, End: 19:15, Room: None
  ➡️ YearMonth: 2025-01, Day: 18, Employee: 202, Start: 08:00, End: 19:30, Room: None
